P_NAME,P_MASS,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,S_DISTANCE,S_TEMPERATURE,S_MASS,S_RADIUS,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,S_TYPE_TEMP,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,S_LOG_G,Atmospheric_Retention,Long_Term_Stability,ESI
K2-121 b,44.10000000000002,7.52,5.185753900004784,0.06289999999999996,0.22,169.39800000000002,4690.0,0.69,0.67,2.4216444,5.8643617,0.77983533,0.10370151000000005,0.00196212650000005,0.06442218000000022,0.04906200000000016,0.07673799999999975,0.06328672999999974,46.60918300000003,659.46748,746.1918334960938,Neptunian,K,0.17988709000000025,1.1451536999999998,0.0,0.40766256,0.0,0.0,Hot,0.0,4.63,8.345153780127237,27.273774899577223,12.415470769903292
HR 5183 b,1052.012,13.1,27000.0,18.0,0.84,31.460699999999974,5794.0,1.07,1.53,8.9613761,80.306262,6.130249,0.46795794,0.2864552,24.3504,2.88,33.12,20.171345,0.01419012099995598,71.28239499999995,170.42340087890625,Jovian,G,2.4945947000000004,4.2644572,0.0,0.51416347,0.0,0.0,Cold,0.0,4.02,100.0,100.0,29.86886797036591
K2-107 b,266.9772,15.98,3.3139590000064345,0.04750000000000032,0.0,685.2,6061.0,1.3,1.81,4.0874147,16.706959,1.0454917999999997,0.065425018,0.002803211100000036,0.04750000000000032,0.04750000000000032,0.04750000000000032,0.04750000000000032,1290.0685,1526.6972,1736.2476806640625,Jovian,F,2.9107170999999994,4.6064225,0.0,0.49690204,0.0,0.0,Hot,0.0,4.04,6.053568888764301,1.6319002626534997,4.194837914688136
WASP-13 b,114.41879999999998,13.675,4.353010000006179,0.05361999999999956,0.0,227.53700000000003,5950.0,0.72,1.37,2.8925777,8.367005499999998,0.6118468400000001,0.04474199899999998,0.002905139699999948,0.053620000000000445,0.05361999999999956,0.053620000000000445,0.053620000000000445,949.1752,1413.9573,1595.09033203125,Jovian,G,2.7289778,4.4602969,0.0,0.41927342,0.0,0.0,Hot,0.0,4.06,4.663094492827395,1.9648382628836174,4.090059256597364
TOI-2076 b,6.889999999999986,2.5179999999999993,10.35508999999729,0.06820000000000004,0.028069641441106796,41.90909999999997,5200.0,0.82,0.77,1.6541761,2.736298599999998,1.0866952999999997,0.43157079,0.0013868774000000972,0.06820000000000004,0.06820000000000004,0.06820000000000004,0.06820000000000004,81.17667400000005,764.6409,863.8820190429688,Neptunian,K,0.3775721900000013,1.6590664,0.0,0.27973229,0.0,0.0,Hot,0.0,4.45,4.923815511783115,17.55575548445883,16.516099430893348
GJ 436 b,22.100000000000023,4.17,2.6438830999977654,0.02909999999999968,0.13827,9.753209999999967,3586.11,0.47,0.45999999999999996,2.3021208,5.2997602000000015,1.2709257000000003,0.30477835,0.000905345310000083,0.02937817599999981,0.02507634300000028,0.03312365699999997,0.02916998400000015,31.003146000000015,598.93765,673.88330078125,Neptunian,M,0.026001595999999516,0.43537528000000014,0.0,0.37492926,0.0,0.0,Hot,0.0,4.79,8.78451683420126,96.44155304928277,19.35392180524716
GJ 357 c,3.3999999999999773,1.6600000000000001,9.124700000000303,0.06099999999999994,0.012512290850281715,9.441810000000032,3505.0,0.33999999999999997,0.3400000000000001,1.4311509,2.0481928000000025,1.2338510999999999,0.74328378,0.0013145640000000736,0.06099999999999994,0.06099999999999994,0.06099999999999994,0.06099999999999994,4.278980700000034,366.38256,413.77153,Superterran,M,0.015922086999999863,0.34069342999999996,0.0,0.32199127,0.0,0.0,Hot,0.0,4.94,8.894044291267972,100.0,38.27988245515281
WASP-48 b,254.264,16.814,2.143630000005942,0.034440000000000026,0.0,454.144,5920.0,0.88,1.58,3.8887222,15.122160000000001,0.8993791,0.05348989500000001,0.002277451399999908,0.034440000000000026,0.034440000000000026,0.034440000000000026,0.034440000000000914,3205.3371,1916.7618,2180.3681640625,Jovian,G,3.801894,5.2645804,0.0,0.48379003,0.0,0.0,Hot,0.0,4.03,4.586184817887451,0.9058642876418971,2.9759858523274634
Kepler-18 d,16.399999999999977,6.98,14.858879999999772,0.11720000000000041,0.0,433.047,5345.0,0.97,1.11,1.5328308000000002,2.3495702000000023,0.3366146400000005,0.048225592999999956,0.003008871000000024,0.11720000000000041,0.11720000000000041,0.11720000000000041,0.11720000000000041,67.786744,730.94703,825.1033935546875,Neptunian,G,0.931107879999999,2.6053361,0.0,0.51977504,0.0,0.0,Hot,0.0,4.31,4.777055754557952,12.587155851371437,8.630687918423943
WASP-132 c,37.35000000000002,1.8499999999999996,1.0115340000047581,0.018200000000000216,0.13,122.90999999999997,4714.0,0.78,0.7499999999999999,4.4932382,20.189189,10.913075,5.8989596,0.000575141299999915,0.018353789999999925,0.015833999999999904,0.02056599999999964,0.018238661999999906,770.11995,1337.683,1510.7028,Superterran,K,0.2529298000000004,1.3578874,0.0,0.39974346,0.0,0.0,Hot,0.0,4.58,7.648123168709482,6.260235053362696,17.450227006326095
WASP-82 b,371.8611,18.159,2.705790000007255,0.04469999999999974,0.0,275.664,6480.0,1.48,2.1,4.5252691,20.47806,1.1277086,0.062101911000000065,0.002821407299999912,0.04469999999999974,0.04469999999999974,0.04469999999999974,0.04469999999999974,3114.4757999999997,1903.0314,2132.177490234375,Jovian,F,6.2230029,6.7354058,0.0,0.52574082,0.0,0.0,Hot,0.0,3.96,5.457522326560042,0.7183027345206562,3.2108166247195737
WASP-36 b,750.39663,14.874,1.5373660000041127,0.02676999999999996,0.019000000000000003,386.346,5959.0,1.08,0.99,7.1028321,50.450224,3.3918397,0.22803817000000015,0.0023266176000000804,0.02677483200000008,0.026261370000000284,0.027278629999999637,0.026771208000000435,1398.8839,1557.8144,1769.5487060546875,Jovian,G,1.0023052000000003,2.7031103,0.0,0.38819871,0.0,0.0,Hot,0.0,4.49,10.321516066501276,2.620097152045101,6.1239029474791336
WASP-15 b,171.6282,15.805,3.7520999999978812,0.05165000000000042,0.0,282.091,6300.0,1.18,1.48,3.2953161,10.859107999999999,0.6870678799999999,0.04347155199999997,0.0027170092999999618,0.05165000000000042,0.05165000000000042,0.05165000000000042,0.05165000000000042,1158.4021,1486.1565,1671.6016845703125,Jovian,F,3.0902954000000005,4.7463938,0.0,0.43740866,0.0,0.0,Hot,0.0,4.35,5.069192050740688,1.6713612556262556,3.8340594134328887
TOI-451 c,9.799999999999955,3.1,9.192521999997552,0.08230000000000004,0.0,123.73900000000003,5550.0,0.95,0.88,1.7780018,3.1612902999999974,1.0197710999999998,0.32895841000000003,0.0017920601000001035,0.08230000000000004,0.08230000000000004,0.08230000000000004,0.08230000000000004,95.54332,796.434,898.4254150390625,Neptunian,G,0.6471426200000003,2.1720197,0.0,0.24698064,0.0,0.0,Hot,0.0,4.56,5.088908385759148,12.717443953853632,14.647788544023394
HAT-P-2 c,3400.764,12.4,8500.0,8.9620237,0.37,127.774,6412.0,1.33,1.42,16.560651,274.25516,22.117351,1.7836574,0.77227771,9.5754742,5.6460749,12.277972,9.1227568,0.05850018900002851,121.90925000000004,170.42340087890625,Jovian,F,4.365158299999999,5.6410996,0.0,0.41805729,0.0,0.0,Cold,0.0,4.16,100.0,100.0,40.118433442681614
WASP-181 b,95.03117000000003,13.271,4.519506399999955,0.05426999999999982,0.0057983738370239735,437.495,5839.0,1.04,0.97,2.6759698,7.160814600000002,0.53958365,0.04065885399999991,0.0024450588000000106,0.05426999999999982,0.05426999999999982,0.05426999999999982,0.05426999999999982,380.08467,1124.7857,1270.349609375,Jovian,G,1.1194379000000003,2.8566943,0.0,0.42223991,0.0,0.0,Hot,0.0,4.49,5.4166704576588325,4.8198584532348345,5.156613592109767
TOI-451 d,15.600000000000023,4.07,16.364988000001176,0.12080000000000002,0.0,123.73900000000003,5550.0,0.95,0.88,1.9577854000000001,3.8329237999999997,0.9417503300000001,0.23138829000000005,0.003071278399999988,0.12080000000000002,0.12080000000000002,0.12080000000000002,0.12080000000000002,44.34719299999995,657.37963,740.7018432617188,Neptunian,G,0.6471426200000003,2.1720197,0.0,0.24698064,0.0,0.0,Hot,0.0,4.56,6.796669078231115,18.666673506992932,16.084612125119065
WASP-133 b,368.6828,13.562999999999999,2.1764229999971576,0.03450000000000042,0.17,559.084,5700.0,1.16,1.44,5.2137302,27.182983,2.0042014000000004,0.1477697699999999,0.0019547027999999855,0.03499852499999978,0.02863500000000041,0.04036500000000043,0.03462582900000033,1720.7978,1631.735,1833.3284912109375,Jovian,G,2.0183663999999997,3.835869,0.0,0.51736334,0.0,0.0,Hot,0.0,4.18,7.3127837505785305,1.41872159584109,5.127219010893841
55 Cnc e,7.990000000000009,1.8749999999999996,0.7365473999961978,0.015439999999999898,0.05,12.585500000000025,5172.0,0.91,0.94,2.0642997,4.2613333,2.2727111,1.2121126,0.00030268526000010176,0.015459299999999843,0.014668000000000347,0.016212000000000337,0.015444828999999771,2668.3879,1830.0298,2066.7311,Superterran,G,0.6353309299999994,2.1521065,0.0,0.51051127,0.0,0.0,Hot,0.0,4.43,2.5684034215053075,2.308718072328057,8.26576964203294
HAT-P-69 b,1137.8314,18.786,4.786949100001948,0.06555,0.0,341.263,7394.0,1.65,1.93,7.7825478,60.568051,3.2241058,0.17162279000000003,0.005792809799999965,0.06555,0.06555,0.06555,0.06555,2327.312,1769.3484,2002.94384765625,Jovian,A,10.0,8.5381497,0.0,0.43989947,0.0,0.0,Hot,0.0,4.11,9.991426267314472,0.6555,4.79294513516367
HAT-P-1 b,166.86075,14.785,4.465299799994682,0.055609999999999715,0.0,158.97900000000004,5980.0,1.15,1.17,3.3594365,11.285812999999997,0.7633285999999999,0.05162858300000006,0.0029229648999999913,0.055609999999999715,0.055609999999999715,0.055609999999999715,0.055609999999999715,542.86796,1229.6266,1386.0931396484375,Jovian,G,1.6788039999999995,3.4983541,0.0,0.4639892,0.0,0.0,Hot,0.0,4.36,6.232301966512181,3.312477215922748,5.056760907752549
